course_code, subject_name, credits_registered, credits_earned, grade, grade_point, result_id, new_grade
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S+, 0, 2660, F
EE43, SIGNALS & SYSTEMS, 4, 4, S, 9.18, 2263, S
CH41, ENGINEERING MATHEMATICS-IV, 4, 4, D, 5.66, 2175, D
AR208, ART APPRECIATION, 2, 2, S+, 0, 3671, F
EC201, BASIC ELECTRONICS, 4, 0, F, 0, 3561, F
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 0, X, 0, 3492, F
IS631L, SYSTEM SOFTWARE  LAB, 1, 1, S, 10, 286, S+
CHY201, ENGINEERING CHEMISTRY, 4, 4, C, 7, 3411, B
EC201, BASIC ELECTRONICS, 4, 4, A, 9.84, 2906, S
ME47L, APPLIED THERMODYNAMICS LABORATORY, 1, 1, A, 9.17, 2078, S
CHY201, ENGINEERING CHEMISTRY, 4, 4, S, 10, 2935, S+
CV803, SEMINAR, 1, 1, S, 10, 4330, S+
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, S+, 0, 2779, F
PHYL201, ENGINEERING PHYSICS LAB, 1, 0, NE, 0, 3124, F
CHL601, CHEMICAL REACTION ENGINEERING LABORATORY, 2, 2, B, 8.27, 4678, A
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S+, 0, 2523, F
EI43, EMBEDDED CONTROLLERS, 4, 4, D, 5, 2369, D
AR606, BUILDING SERVICES IV, 3, 3, B, 8, 1230, A
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S+, 0, 3544, F
BTPE08, FOOD BIOTECHNOLOGY, 3, 3, C, 7.77, 1014, B
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 9.02, 3044, S
HSS204M, KANNADA MANASU, 0, 0, Pass, 0, 2737, F
CSMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, C, 7, 1283, B
MEL203, WORKSHOP PRACTICE, 2, 2, S, 9.74, 2856, S
EC604, ANTENNAS AND PROPAGATION, 3, 3, B, 7.03, 411, B
CS1563, COMPUTER SECURITY, 4, 4, B, 7.02, 171, B
IMPE19, ORGANIZATIONAL BEHAVIOR, 3, 3, A, 9.61, 4054, S
IM802, PROJECT WORK, 14, 14, A, 9, 4056, S
IS62C3, BIOINFORMATICS, 4, 4, A, 8.02, 405, A
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, C, 6.65, 2965, C
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 2875, S+
ML46-2, MICROCONTROLLER -MSP430, 4, 4, B, 7.14, 2324, B
ME47L, APPLIED THERMODYNAMICS LABORATORY, 1, 1, A, 8.07, 1891, A
EE43, SIGNALS & SYSTEMS, 4, 4, A, 8.43, 2297, A
HSS202, ENVIRONMENTAL STUDIES, 2, 2, B, 8, 2577, A
CH602, MASS TRANSFER - II, 4, 4, D, 5, 950, D
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, A, 9.27, 4190, S
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 3651, F
MLL609, BIO-MEDICAL SIGNAL PROCESSING LAB, 1, 1, C, 6.15, 1137, C
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, A, 9.49, 2880, S
ME801, INTELLECTUAL PROPERTY RIGHTS, 3, 3, A, 10, 4379, S+
CS1564, COMPUTER GRAPHICS, 4, 0, F, 0, 211, F
EC201, BASIC ELECTRONICS, 4, 4, A, 9, 3569, S
CSMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, A, 9, 1298, S
HSS202, ENVIRONMENTAL STUDIES, 2, 2, B, 8.36, 3657, A
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S+, 0, 2547, F
CSPE12, SOFTWARE DEFINED NETWORKS, 4, 4, B, 8.55, 191, A
AR207, COMPUTERS IN ARCHITECTURE I, 1, 1, C, 7.66, 3702, B
ME802, SEMINAR / INDUSTRIAL TRAINING, 1, 1, A, 8.73, 4452, A
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 1, S+, 0, 3515, F
EE602, POWER ELECTRONICS, 4, 4, C, 7, 1084, B
AR206, SURVEYING & LEVELING, 2, 2, B, 7.01, 3667, B
ME803, PROJECT WORK, 12, 12, S, 9.12, 4408, S
PHY201, ENGINEERING PHYSICS, 4, 4, A, 9.58, 3166, S
AR805, CONSTITUTIONAL LAW, 1, 1, B, 8.87, 4891, A
AR201, ARCHITECTURAL DESIGN I, 7, 7, A, 9, 3675, S
ME43, APPLIED THERMODYNAMICS, 4, 4, B, 7.58, 2080, B
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S+, 0, 2746, F
CS1562, EMBEDDED SYSTEMS, 4, 4, A, 9.72, 275, S
CVL47, SURVEYING PRACTICE, 2, 2, A, 9, 1779, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, A, 8.17, 3294, A
TC45, SIGNALS & SYSTEMS, 4, 4, C, 7, 2135, B
MEPE21, SOLAR ENERGY, 3, 3, S, 10, 693, S+
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, A, 9, 3063, S
IS62B2, DISTRIBUTED STORAGE TECHNOLOGIES, 4, 4, D, 4.02, 385, E
EC462, HARDWARE DESCRPITION LANGUAGE, 3, 3, C, 7.07, 1650, B
MLL609, BIO-MEDICAL SIGNAL PROCESSING LAB, 1, 0, F, 0, 1110, F
EI601L, ADVANCED EMBEDDED CONTROLLERS LAB, 1, 1, A, 8.09, 1169, A
BTPE04, MICROBIAL BIOTECHNOLOGY, 3, 3, A, 9, 1001, S
IMMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, B, 7.48, 1592, B
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 2671, F
AR607, SUSTAINABLE / ENVIRONMENTAL DESIGN, 2, 2, S, 10, 1255, S+
HSS204M, KANNADA MANASU, 0, 0, Pass, 0, 2919, F
EC601, DIGITAL COMMUNICATION, 4, 0, NE, 0, 4226, F
ME802, SEMINAR / INDUSTRIAL TRAINING, 1, 1, S, 9.98, 4504, S
EE43, SIGNALS & SYSTEMS, 4, 4, S, 10, 2301, S+
AR205, ARCHITECTURAL STRUCTURES II, 3, 3, A, 8.81, 3693, A
ME803, PROJECT WORK, 12, 12, S, 10, 4378, S+
TC43, MICOELECTRONICS, 4, 4, B, 7.47, 2105, B
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 2, C, 7, 3468, B
IS512L, MICROPROCESSORS LAB, 1, 1, S, 9.62, 47, S
EC201, BASIC ELECTRONICS, 4, 4, D, 5.84, 2585, D
ME48L, MANUFACTURING PROCESS LABORATORY - I, 1, 0, NE, 0, 4377, F
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, B, 8.85, 3173, A
IT930, AUTOMOBILE INSTRUMENTATION, 4, 4, A, 9.33, 4036, S
EEL47, MICROCONTROLLERS: PROGRAMMING & INTERFACING LAB., 1, 1, B, 8.77, 2315, A
MAT201, ENGINEERING MATHEMATICS-II, 4, 0, F, 0, 1505, F
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 2569, F
IS633L, PROJECT BASED LEARNING, 2, 2, S, 10, 392, S+
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 2565, S+
MEPE08, NANO TECHNOLOGY, 3, 3, B, 8.85, 4561, A
AR405, ARCHITECTURAL STRUCTURES IV, 3, 3, S, 9.11, 2485, S
CS1542, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 4, B, 7.69, 1315, B
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 2, B, 7.71, 3219, B
IS512L, MICROPROCESSORS LAB, 1, 1, A, 9.1, 85, S
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, A, 8.19, 3076, A
CH43, CHEMICAL ENGINEERING THERMODYNAMICS, 4, 4, D, 5.72, 2144, D
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 1, C, 7.89, 2969, B
CSL1543, MICROPROCESSORS  AND CO LABORATORY, 2, 2, B, 8.94, 1322, A
IM802, PROJECT WORK, 14, 14, S, 10, 4073, S+
CV603, IRRIGATION ENGINEERING AND HYDRAULIC STRUCTURES, 3, 3, B, 8, 659, A
EC801, OPTICAL FIBER COMMUNICATION, 3, 3, C, 6.01, 4183, C
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 0, NE, 0, 3168, F
CSL1541, PYTHON LABORATORY, 2, 2, S, 10, 1305, S+
AR402, BUILDING MATERIALS & CONSTRUCTION TECHNOLOGY IV, 4, 4, B, 7.9, 2443, B
AR203, ARCHITECTURAL GRAPHICS II, 3, 3, S, 10, 3710, S+
ME803, PROJECT WORK, 12, 12, A, 9, 4499, S
BT43, BIOCHEMICAL THERMODYNAMICS, 4, 4, S, 9.32, 2246, S
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 2857, F
CV607L, DETAILING OF RC AND STEEL STRUCTURAL ELEMENTS, 2, 2, A, 9.19, 631, S
MEMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, B, 7.65, 2085, B
TC603, SATELLITE COMMUNICATIONS, 3, 3, S, 10, 899, S+
IS512L, MICROPROCESSORS LAB, 1, 1, C, 7, 44, B
ME48L, MANUFACTURING PROCESS LABORATORY - I, 1, 1, S, 9.1, 1941, S
TC42, MICRO CONTROLLER, 4, 0, F, 0, 2091, F
ME601L, MACHINE DESIGN  LABORATORY, 1, 1, A, 9, 870, S
CV803, SEMINAR, 1, 1, A, 8.69, 4336, A
CSL1543, MICROPROCESSORS  AND CO LABORATORY, 2, 2, B, 8.07, 1382, A
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 2561, F
EC42, LINEAR INTEGRATED CIRCUITS, 4, 4, A, 8.54, 1699, A
IS632L, OPERATING SYSTEM AND UNIX  LAB, 1, 1, S, 9.75, 364, S
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 2666, F
PHY201, ENGINEERING PHYSICS, 4, 4, D, 4.74, 3235, E
IS435, MICROPROCESSORS, 4, 0, X, 0, 1522, F
EE801, INTELLECTUAL PROPERTY RIGHTS, 2, 2, B, 8, 4801, A
BT606L, UPSTREAM PROCESS TECHNOLOGY LAB, 1, 1, A, 8.69, 1033, A
EC201, BASIC ELECTRONICS, 4, 4, S+, 0, 3628, F
TC603, SATELLITE COMMUNICATIONS, 3, 3, A, 9.1, 924, S
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, B, 8.24, 3206, A
CH801, ECONOMICS AND ENTREPRENEURSHIP, 4, 4, B, 8.84, 4644, A
ME48L, MANUFACTURING PROCESS LABORATORY - I, 1, 1, A, 9.19, 1934, S
ML603, BIO-MEDICAL SIGNAL PROCESSING, 4, 0, NE, 0, 1102, F
EIMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, B, 8, 2365, A
MLL609, BIO-MEDICAL SIGNAL PROCESSING LAB, 1, 1, S, 9.33, 1140, S
IS52A2, EMBEDDED COMPUTING, 4, 4, B, 7.68, 99, B
CVPE841, DESIGN OF EARTHQUAKE RESISTANT STRUCTURES, 4, 4, A, 8.54, 4248, A
ME802, SEMINAR / INDUSTRIAL TRAINING, 1, 1, A, 9.09, 4557, S
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S+, 0, 3577, F
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 0, X, 0, 3487, F
MEPE18, SMART MATERIALS, 3, 3, A, 8.53, 4410, A
ME602, MANUFACTURING PROCESS - III, 3, 3, A, 8.05, 734, A
CV42, HYDRAULICS AND HYDRAULIC MACHINERY, 4, 4, B, 8, 1864, A
EC804, PROJECT WORK - II, 14, 14, S, 9.06, 4166, S
ME48L, MANUFACTURING PROCESS LABORATORY - I, 1, 1, S, 10, 1989, S+
AR202, BUILDING MATERIALS & CONSTRUCTION TECHNOLOGY II, 4, 4, A, 8.13, 3713, A
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, A, 9, 4222, S
EC43, CONTROL SYSTEMS, 4, 4, S, 9.4, 1712, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, C, 7.97, 2773, B
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, A, 9, 3426, S
ME601, MACHINE DEISGN - II, 4, 4, A, 9, 790, S
CS812, PROJECT, 18, 18, A, 9, 3810, S
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, B, 8, 2998, A
MEOE06, NON-CONVENTIONAL ENERGY SOURCES, 3, 3, A, 9.05, 4060, S
MLL48, LINEAR INTEGRATED CIRCUITS LAB, 1, 1, A, 9.75, 2338, S
AR607, SUSTAINABLE / ENVIRONMENTAL DESIGN, 2, 2, A, 8.89, 1274, A
EC601L, DIGITAL COMMUNICATION LAB, 1, 1, A, 8.04, 414, A
ME44, KINEMATICS OF MACHINES, 4, 4, A, 9, 2015, S
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, B, 8.05, 2915, A
EC604, ANTENNAS AND PROPAGATION, 3, 3, A, 9, 488, S
CH601, CHEMICAL REACTION ENGINEERING - II, 4, 4, A, 9, 948, S
CS813, SEMINAR, 2, 2, A, 8.16, 3789, A
BT42, HEAT & MASS TRANSFER, 4, 4, B, 8, 2211, A
HSS202, ENVIRONMENTAL STUDIES, 2, 2, A, 9.79, 3580, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, B, 8.23, 3575, A
MEOE06, NON-CONVENTIONAL ENERGY SOURCES, 3, 3, A, 8.38, 4342, A
PHY201, ENGINEERING PHYSICS, 4, 4, A, 8.66, 3094, A
EC201, BASIC ELECTRONICS, 4, 4, E, 4, 2745, E
CS1542, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 4, A, 9.65, 1417, S
CVPE842, INDUSTRIAL WASTE WATER TREATMENT, 4, 0, X, 0, 4369, F
CV45, ENVIRONMENTAL ENGINEERING -I, 3, 3, B, 8.5, 1804, A
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, B, 7.3, 2983, B
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S+, 0, 2683, F
CS1542, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 0, NE, 0, 1403, F
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 3410, S+
EE804, OPERATIONS RESEARCH, 4, 4, B, 8, 4783, A
IS631, SYSTEM SOFTWARE, 4, 4, A, 8.3, 291, A
EC41, MATHEMATICS - IV, 4, 0, X, 0, 1753, F
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S+, 0, 2842, F
ME604, PROFESSIONAL ETHICS, 2, 2, A, 9, 764, S
EE602L, POWER ELECTRONICS LAB, 1, 1, A, 8.13, 1050, A
CH803, PROJECT WORK, 13, 13, A, 8.62, 4673, A
ECL47, SIGNALS AND CONTROLS LAB, 1, 1, B, 8.98, 1732, A
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, S, 10, 3110, S+
EC45, SIGNALS AND SYSTEMS, 4, 4, A, 8.85, 1749, A
IS811, PROJECT WORK, 19, 19, A, 9, 3998, S
ME603L, FINITE ELEMENT ANALYSIS LABORATORY, 1, 1, S, 9.91, 764, S
CV42, HYDRAULICS AND HYDRAULIC MACHINERY, 4, 4, B, 7.29, 1874, B
MEPE12, RAPID PROTOTYPING, 3, 3, S, 10, 715, S+
AR601, ARCHITECTURAL DESIGN V, 7, 7, B, 8.34, 1224, A
CV46, ENGINEERING MANAGEMENT AND ENTREPRENEURSHIP, 3, 3, B, 8, 1837, A
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S, 9.51, 2591, S
AR202, BUILDING MATERIALS & CONSTRUCTION TECHNOLOGY II, 4, 4, A, 9, 3736, S
PHY201, ENGINEERING PHYSICS, 4, 4, A, 9, 3167, S
MEL203, WORKSHOP PRACTICE, 2, 2, S+, 0, 2877, F
ME43, APPLIED THERMODYNAMICS, 4, 4, C, 7, 1946, B
ME803, PROJECT WORK, 12, 12, S, 10, 4412, S+
CV602, DESIGN OF STRUCTURAL STEEL ELEMENTS, 3, 3, E, 4.4, 617, E
IMPE15, PROJECT MANAGEMENT, 3, 3, S, 10, 4055, S+
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, A, 9, 3183, S
HSS202, ENVIRONMENTAL STUDIES, 2, 2, S, 10, 2747, S+
CHY201, ENGINEERING CHEMISTRY, 4, 4, S, 9.54, 3601, S
BTL47, MOLECULAR BIOLOGY LAB, 1, 1, S, 10, 2224, S+
IS633L, PROJECT BASED LEARNING, 2, 2, S, 10, 405, S+
MEPE18, SMART MATERIALS, 3, 3, A, 8.23, 4374, A
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 2, B, 8, 3045, A
CV607L, DETAILING OF RC AND STEEL STRUCTURAL ELEMENTS, 2, 2, A, 9, 653, S
IT930, AUTOMOBILE INSTRUMENTATION, 4, 4, A, 9.68, 4022, S
CHPE051, SOLID WASTE MANAGEMENT, 3, 3, B, 7.91, 4642, B
CH604, PROCESS EQUIPMENT DESIGN AND DRAWING, 4, 4, C, 6.56, 951, C
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 2952, F
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, C, 7.81, 3244, B
HSS204M, KANNADA MANASU, 0, 0, Pass, 0, 2712, F
EC601, DIGITAL COMMUNICATION, 4, 4, A, 9, 519, S
CV605, DESIGN AND DETAILING OF RC STRUCTURES, 4, 0, X, 0, 546, F
EC201, BASIC ELECTRONICS, 4, 4, S, 10, 3653, S+
ME201, ELEMENTS OF MECHANICAL ENGINEERING, 4, 4, C, 6.09, 2895, C
ME603, FINITE ELEMENT ANALYSIS, 4, 4, A, 9, 853, S
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, C, 7, 2783, B
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 0, NE, 0, 3538, F
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 3361, F
CHL47, HEAT TRANSFER LABORATORY, 1, 1, S, 10, 2170, S+
MEL203, WORKSHOP PRACTICE, 2, 2, S+, 0, 2879, F
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, B, 8.34, 3274, A
IS632, OPERATING SYSTEM AND UNIX, 4, 4, A, 9, 312, S
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 1, S, 10, 3487, S+
MEPE21, SOLAR ENERGY, 3, 3, A, 8.32, 676, A
IS511, DATA COMMUNICATION, 4, 4, B, 8.58, 104, A
IS515, SOFTWARE ENGINEERING, 4, 4, B, 8.09, 74, A
AR804, PROFESSIONAL PRACTICE II, 3, 3, C, 7.5, 4918, B
IS515, SOFTWARE ENGINEERING, 4, 4, A, 9.36, 106, S
ME603L, FINITE ELEMENT ANALYSIS LABORATORY, 1, 1, S, 9.53, 735, S
BTOE01, PRINCIPLES OF FOOD PROCESSING AND PRESERVATION, 3, 3, C, 6.34, 4509, C
CS1541, COMPUTER ORGANIZATION, 4, 4, B, 8, 1298, A
EC201, BASIC ELECTRONICS, 4, 4, S, 10, 2545, S+
EC201, BASIC ELECTRONICS, 4, 4, E, 4.72, 3552, E
IS82ECA, EXTRA/ CO-CURRICULAR ACTIVITIES, 2, 2, S, 9.93, 3964, S
EC201, BASIC ELECTRONICS, 4, 4, D, 4.8, 3562, E
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, B, 8.7, 2778, A
PHY201, ENGINEERING PHYSICS, 4, 4, A, 9.95, 2787, S
AR602, BUILDING MATERIALS & CONSTRUCTION TECHNOLOGY VI, 4, 4, B, 8, 1202, A
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 2655, F
ECL47, SIGNALS AND CONTROLS LAB, 1, 1, A, 8.99, 1699, A
CV46, ENGINEERING MANAGEMENT AND ENTREPRENEURSHIP, 3, 0, X, 0, 1851, F
EEL47, MICROCONTROLLERS: PROGRAMMING & INTERFACING LAB., 1, 1, B, 8, 2317, A
ML41, ENGINEERING MATHEMATICS-IV, 4, 4, E, 3.1, 2335, F
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, S, 10, 3183, S+
BT603, BIOREACTION ENGINEERING, 4, 4, S, 9.81, 1023, S
EE602, POWER ELECTRONICS, 4, 0, F, 0, 1093, F
ME603L, FINITE ELEMENT ANALYSIS LABORATORY, 1, 1, A, 9, 878, S
CHL602, MASS TRANSFER LABORATORY, 2, 2, A, 9, 937, S
EC201, BASIC ELECTRONICS, 4, 4, C, 6.49, 2519, C
ISMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, A, 8.91, 1499, A
IS631, SYSTEM SOFTWARE, 4, 4, A, 9, 404, S
ME201, ELEMENTS OF MECHANICAL ENGINEERING, 4, 4, A, 9, 3625, S
HSS202, ENVIRONMENTAL STUDIES, 2, 2, A, 9, 2880, S
ME802, SEMINAR / INDUSTRIAL TRAINING, 1, 1, A, 8.3, 4386, A
CS1541, COMPUTER ORGANIZATION, 4, 4, A, 9.18, 1327, S
IS414L, DESIGN AND ANALYSIS OF ALGORITHMS LAB, 1, 1, S, 10, 1502, S+
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 0, NE, 0, 2916, F
ME601, MACHINE DEISGN - II, 4, 4, B, 8.53, 743, A
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S, 10, 3353, S+
CSPE16, ARTIFICIAL INTELLIGENCE, 4, 4, A, 9.1, 208, S
TC45, SIGNALS & SYSTEMS, 4, 4, A, 9.56, 2087, S
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, S, 10, 2966, S+
ML602, MEDICAL IMAGE PROCESSING, 4, 4, S, 10, 1106, S+
AR803, IPR & ETHICS, 1, 1, S, 10, 4928, S+
ME803, PROJECT WORK, 12, 12, S, 9.76, 4480, S
MEMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, C, 7.86, 1976, B
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 0, NE, 0, 3409, F
IS632, OPERATING SYSTEM AND UNIX, 4, 4, A, 8.64, 295, A
CHY201, ENGINEERING CHEMISTRY, 4, 4, S+, 0, 2854, F
ME602, MANUFACTURING PROCESS - III, 3, 3, A, 9.79, 713, S
CS201, FUNDAMENTALS OF COMPUTING, 3, 0, F, 0, 1846, F
IS435L, MICROPROCESSORS LAB, 1, 1, S, 10, 1535, S+
ME803, PROJECT WORK, 12, 12, S, 9.48, 4374, S
EI43, EMBEDDED CONTROLLERS, 4, 4, C, 7, 2374, B
BT603, BIOREACTION ENGINEERING, 4, 4, S, 10, 1022, S+
CS813, SEMINAR, 2, 2, S, 9.21, 3741, S
ME601L, MACHINE DESIGN  LABORATORY, 1, 1, A, 9.09, 784, S
ME602, MANUFACTURING PROCESS - III, 3, 3, A, 9.34, 673, S
ML802, MANAGEMENT AND ENTREPRENEURSHIP, 4, 4, A, 8.45, 4849, A
ME44, KINEMATICS OF MACHINES, 4, 4, A, 9, 1940, S
MEPE30, OPERATIONS  MANAGEMENT, 3, 3, B, 7.47, 685, B
CS1544, DATA COMMUNICATION, 4, 4, B, 7.91, 1353, B
ME601L, MACHINE DESIGN  LABORATORY, 1, 1, A, 8.71, 693, A
CV602, DESIGN OF STRUCTURAL STEEL ELEMENTS, 3, 3, C, 7.35, 556, B
IS632, OPERATING SYSTEM AND UNIX, 4, 4, A, 9, 355, S
EE601, POWER SYSTEMS-I, 4, 4, B, 8, 1087, A
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S, 9.97, 3564, S
CHY201, ENGINEERING CHEMISTRY, 4, 4, D, 5.97, 2634, D
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, E, 4.32, 3007, E
BT603, BIOREACTION ENGINEERING, 4, 4, A, 9, 1026, S
EC603, COMPUTER COMMUNICATION NETWORKS, 3, 3, A, 9, 508, S
IS414L, DESIGN AND ANALYSIS OF ALGORITHMS LAB, 1, 1, S, 10, 1503, S+
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 0, X, 0, 3019, F
EC601, DIGITAL COMMUNICATION, 4, 4, B, 8, 445, A
CV801, EXTENSIVE SURVEY PROJECT, 4, 4, A, 9, 4351, S
EE42, ELECTRICAL & ELECTRONIC MEASUREMENTS, 4, 4, B, 7.62, 2299, B
CSL1542, ALGORITHMS LABORATORY, 1, 1, A, 9.41, 1338, S
AL201, ENGINEERING DESIGN, 2, 2, S, 9.77, 2920, S
HSS204K, KANNADA KALI, 0, 0, Fail, 0, 3593, F
CS812, PROJECT, 18, 18, S, 9.04, 3808, S
TC45, SIGNALS & SYSTEMS, 4, 4, B, 8.98, 2123, A
IS631L, SYSTEM SOFTWARE  LAB, 1, 1, A, 9.14, 329, S
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 3654, F
EI44, INDUSTRIAL INSTRUMENTATION-I, 4, 4, A, 8.57, 2418, A
EC201, BASIC ELECTRONICS, 4, 4, E, 3.85, 2758, F
MLL608, MEDICAL IMAGE PROCESSING LAB, 1, 1, S, 10, 1100, S+
CHY201, ENGINEERING CHEMISTRY, 4, 0, X, 0, 2702, F
MEPE30, OPERATIONS  MANAGEMENT, 3, 3, B, 7.4, 858, B
CSL1563, INTERNET TECHNOLOGIES & SOFTWARE DEVELOPMENT FOR PORTABLE DEVICES LABORATORY, 2, 2, B, 8, 189, A
CH803, PROJECT WORK, 13, 13, A, 9, 4640, S
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, B, 8.98, 3172, A
BT607L, BIOREACTION ENGINEERING LAB, 1, 1, S, 9.48, 4748, S
EI603, INDUSTRIAL DATA NETWORKS, 4, 0, F, 0, 1167, F
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, C, 7, 3041, B
EC201, BASIC ELECTRONICS, 4, 4, S, 9.27, 2655, S
EC201, BASIC ELECTRONICS, 4, 4, B, 8.64, 3592, A
CV607L, DETAILING OF RC AND STEEL STRUCTURAL ELEMENTS, 2, 2, S, 10, 545, S+
IS433, SOFTWARE ENGINEERING, 3, 3, C, 6.92, 1470, C
IS433, SOFTWARE ENGINEERING, 3, 3, A, 9, 1471, S
PHY201, ENGINEERING PHYSICS, 4, 4, E, 4.16, 3450, E
MEPE18, SMART MATERIALS, 3, 3, A, 8.79, 4390, A
CH602, MASS TRANSFER - II, 4, 4, A, 9.42, 975, S
AR207, COMPUTERS IN ARCHITECTURE I, 1, 1, S, 9.17, 3695, S
EC41, MATHEMATICS - IV, 4, 4, A, 8.43, 1701, A
MLL47-2, MICROCONTROLLER -MSB430 LAB, 1, 1, A, 9.16, 2354, S
MES81, ENERGY ENGINEERING, 3, 3, S, 9.39, 4482, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, A, 9, 3308, S
AR201, ARCHITECTURAL DESIGN I, 7, 7, A, 9, 3713, S
CV605, DESIGN AND DETAILING OF RC STRUCTURES, 4, 0, F, 0, 611, F
CV601, GEOTECHNICAL ENGINEERING -II, 4, 4, B, 8, 635, A
IMPE19, ORGANIZATIONAL BEHAVIOR, 3, 3, B, 7.68, 4097, B
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, S, 10, 2503, S+
CHL48, MECHANICAL OPERATIONS LABORATORY, 1, 1, B, 7.49, 2194, B
CHY201, ENGINEERING CHEMISTRY, 4, 4, S, 9.48, 2520, S
ME603L, FINITE ELEMENT ANALYSIS LABORATORY, 1, 1, A, 9, 827, S
CVOE01, AIR POLLUTION & CONTROL, 3, 3, B, 8, 4528, A
ECPE25, MACHINE LEARNING, 4, 4, C, 7.99, 475, B
IS82ECA, EXTRA/ CO-CURRICULAR ACTIVITIES, 2, 2, S, 10, 3997, S+
CS1564, COMPUTER GRAPHICS, 4, 0, F, 0, 278, F
ME601L, MACHINE DESIGN  LABORATORY, 1, 1, A, 8.11, 689, A
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, C, 6.7, 3450, C
